model_name,dataset,policy,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
DiscoResearch/mixtral-7b-8expert,long_short,fcfs,209.36,94.06260300790721,0.06486819927112344,115.4005702075083,1.4329384791746274,7728.467711119602,368.8717997707298,92.74152167128842,0,39429.0
DiscoResearch/mixtral-7b-8expert,long_short,sjf,212.91,97.81030205081535,0.06724433727458576,119.18063353328702,1.409046075806679,7599.605467098774,362.721337654408,96.49736353766518,0,39429.0
DiscoResearch/mixtral-7b-8expert,long_short,ljf,214.77,98.87651667215778,0.06651056985143128,120.54725233487883,1.3968431345159937,7533.789635423942,359.58001583088884,97.56268227090662,0,39429.0
DiscoResearch/mixtral-7b-8expert,long_short,prompt_len_sjf,208.13,93.04453457042635,0.06560002163556229,114.4808593549903,1.4414068130495363,7774.141161773891,371.0517465045885,91.74067395703908,0,39429.0
DiscoResearch/mixtral-7b-8expert,long_short,prefill_aging_fairness,211.82,96.38561866696452,0.06591432197273116,117.65657106852743,1.41629685582098,7638.712114059107,364.5878576149561,95.08044282328507,0,39429.0
DiscoResearch/mixtral-7b-8expert,long_short,vtc_fairness,210.1,95.14069951742798,0.06577544574703736,116.51882597779918,1.4278914802475011,7701.247025226083,367.57258448357925,93.84839233040798,0,39429.0
DiscoResearch/mixtral-7b-8expert,long_short,skip_join_mlfq,204.17,87.5814280683353,0.0675537681577838,108.95003679246801,1.469363765489543,7924.925307341921,378.2485183915365,86.28361212519607,0,39429.0
DiscoResearch/mixtral-7b-8expert,long_short,least_laxity_first,212.48,97.22564231417844,0.06675668686232536,118.88234366241892,1.411897590361446,7614.984939759037,363.4553840361446,95.90472945901791,0,39429.0
DiscoResearch/mixtral-7b-8expert,long_short,hybrid,218.27,102.7826977220668,0.06921006248860723,124.64965241790567,1.374444495349796,7412.983918999404,353.8140834745957,101.43676324326667,0,39429.0
DiscoResearch/mixtral-7b-8expert,long_short,adaptive_io_aging,215.18,99.98121296005672,0.06769989200064094,121.49299764367949,1.394181615391765,7519.434891718561,358.89487870619945,98.66492900281776,0,39429.0
DiscoResearch/mixtral-7b-8expert,mixed,fcfs,819.36,59.211370960092054,0.10370767835226687,738.4903079770068,0.36613942589338017,1776.370581917594,805.6739406365944,58.76009457001223,0,39511.0
DiscoResearch/mixtral-7b-8expert,mixed,sjf,808.82,52.471649639981685,0.10178677290448596,727.9195156960851,0.3709107094285502,1799.5190524467741,816.1729433001161,52.02210386688112,0,39511.0
DiscoResearch/mixtral-7b-8expert,mixed,ljf,805.11,54.97335445924286,0.1022004106385577,723.6617063548179,0.3726198904497522,1807.8113549701284,819.9339220727602,54.526284752161885,0,39511.0
DiscoResearch/mixtral-7b-8expert,mixed,prompt_len_sjf,770.14,50.9203199261695,0.09830570999272109,689.988740278856,0.38953956423507413,1889.8992390993847,857.1649310514971,50.47443545287882,0,39511.0
DiscoResearch/mixtral-7b-8expert,mixed,prefill_aging_fairness,824.8,59.09563126747088,0.10470828640261277,743.6197493413191,0.36372453928225024,1764.654461687682,800.3600872938895,58.647567362667544,0,39511.0
DiscoResearch/mixtral-7b-8expert,mixed,vtc_fairness,768.77,52.690088107920374,0.10044786503282997,694.7001723334989,0.39023375001625976,1893.2671670330528,858.6924567816122,52.24289906024722,0,39511.0
DiscoResearch/mixtral-7b-8expert,mixed,skip_join_mlfq,805.2,51.132466162733536,0.10084172407067027,723.6770102413492,0.37257824143070045,1807.6092896174862,819.8422752111276,50.680995148471375,0,39511.0
DiscoResearch/mixtral-7b-8expert,mixed,least_laxity_first,812.54,56.11076894072105,0.1038815524007726,731.3284539997387,0.36921259261082534,1791.2804292711744,812.4363108277747,55.662147125489504,0,39511.0
DiscoResearch/mixtral-7b-8expert,mixed,hybrid,775.76,57.611482236749865,0.10278906129044464,695.3657711174158,0.3867175415076828,1876.2078477879757,850.955192327524,57.1640896649881,0,39511.0
DiscoResearch/mixtral-7b-8expert,mixed,adaptive_io_aging,819.12,56.846859820018935,0.10440327779805228,738.2964047583721,0.366246703779666,1776.891053813849,805.9100009766579,56.39723698156209,0,39511.0
DiscoResearch/mixtral-7b-8expert,short_long,fcfs,974.84,68.19384453599183,0.12365852914336162,880.7038682624361,0.30774280907636126,1355.2900988880226,1279.2201797218004,67.98125802218537,0,39835.0
DiscoResearch/mixtral-7b-8expert,short_long,sjf,993.2,69.78931808337843,0.12554254369190326,900.3157989174068,0.3020539669754329,1330.2366089407974,1255.5728956906967,69.5981780550539,0,39835.0
DiscoResearch/mixtral-7b-8expert,short_long,ljf,946.65,50.503826765216395,0.11992142395069581,848.2088495922635,0.316906987799081,1395.6488670575186,1317.3136851000897,50.33241963410571,0,39835.0
DiscoResearch/mixtral-7b-8expert,short_long,prompt_len_sjf,989.11,73.36425449094973,0.12467580425535406,895.2690806544434,0.3033029693360698,1335.7371778669713,1260.764727886686,73.17615208418026,0,39835.0
DiscoResearch/mixtral-7b-8expert,short_long,prefill_aging_fairness,973.74,67.27458863926863,0.12296207858024248,880.5982136241336,0.308090455357693,1356.8211226816193,1280.6652699899357,67.06424823128779,0,39835.0
DiscoResearch/mixtral-7b-8expert,short_long,vtc_fairness,984.85,66.80862396578611,0.12435888960939626,890.9514058480096,0.3046149159770523,1341.5149515154592,1266.218205818145,66.59916193199425,0,39835.0
