model,chunk_size,qps,total_time,status,sequence_metrics_csv,output_dir
mistral,2048,10,183.16,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_10_qps_mistral
mistral,3072,10,180.69,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_10_qps_mistral
mistral,4096,10,179.86,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_10_qps_mistral
mistral,128,15,390.23,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_15_qps_mistral
mistral,256,15,246.42,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_15_qps_mistral
mistral,512,15,206.83,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_15_qps_mistral
mistral,1024,15,189.60,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_15_qps_mistral
mistral,2048,15,183.75,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_15_qps_mistral
mistral,3072,15,182.65,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_15_qps_mistral
mistral,4096,15,183.21,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_15_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_15_qps_mistral
