model_safe,dataset,policy,total_time,status,sequence_metrics_csv,output_dir
llama2_7b,short_short,hybrid,105.80,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_hybrid_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_hybrid_chunk512_qps3_n300
llama2_7b,short_short,adaptive_io_aging,107.34,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_adaptive_io_aging_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_adaptive_io_aging_chunk512_qps3_n300
yi_6b,long_long,fcfs,1960.01,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_fcfs_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_fcfs_chunk512_qps3_n300
yi_6b,long_long,sjf,1992.33,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_sjf_chunk512_qps3_n300
yi_6b,long_long,ljf,1982.89,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_ljf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_ljf_chunk512_qps3_n300
yi_6b,long_long,prompt_len_sjf,2000.47,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_prompt_len_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_prompt_len_sjf_chunk512_qps3_n300
yi_6b,long_long,prefill_aging_fairness,1934.04,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_prefill_aging_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_prefill_aging_fairness_chunk512_qps3_n300
yi_6b,long_long,vtc_fairness,1992.45,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_vtc_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_vtc_fairness_chunk512_qps3_n300
yi_6b,long_long,skip_join_mlfq,1982.58,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_skip_join_mlfq_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_skip_join_mlfq_chunk512_qps3_n300
yi_6b,long_long,least_laxity_first,2012.11,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_least_laxity_first_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_long_sched_policy_least_laxity_first_chunk512_qps3_n300
