model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
yi,1024,5,245.05,173.53235149131214,0.18375833834882738,197.3783900208253,1.2242399510304018,10950.104060395837,271.450724341971,170.92054017695713,0,39894.0
yi,2048,5,231.86,151.68137196817028,0.34525737474974927,194.24395209946204,1.2938842404899507,11573.031139480721,286.8929526438368,149.24990780899532,0,39934.0
yi,3072,5,225.21,145.423949340221,0.40175447064958075,190.55999518407097,1.3320900492873318,11914.759557746103,295.36432662848006,143.70265419054195,0,39924.0
yi,4096,5,235.51,155.51033648702025,0.4862418175717969,201.64327101676778,1.273831259819116,11393.6690586387,282.4466052396926,153.23878885386452,0,39908.0
yi,128,10,523.45,483.6506094897812,0.05522732441897959,494.6571296003932,0.5731206418951189,5126.2260005731205,127.0780399274047,478.9765214959573,0,39916.0
yi,256,10,334.80,297.4231160167814,0.06790955735712914,310.21656637458244,0.8960573476702509,8014.704301075269,198.68279569892474,294.4755758956831,0,39920.0
yi,512,10,247.28,208.93923809495928,0.09514468298680039,224.6192639055231,1.2131996117761241,10851.354739566483,269.00274991912005,206.69965471679518,0,39996.0
yi,1024,10,246.65,203.11723994418105,0.18432303358462926,225.67020810346003,1.2162983985404419,10879.071558889114,269.68984390837215,200.5652033889718,0,39894.0
yi,2048,10,232.33,181.91367954323184,0.33817340236414034,215.22984289552087,1.291266732664744,11549.619076313864,286.3125726337537,179.4459208769491,0,39934.0
yi,3072,10,223.75,172.24524159074352,0.39237248488999316,206.7910680107394,1.3407821229050279,11992.50502793296,297.29162011173185,170.2014936699014,0,39924.0
yi,4096,10,234.88,182.99307238153588,0.483429056079094,217.7322406150261,1.2772479564032697,11424.22939373297,283.204189373297,180.74193155409588,0,39908.0
yi,128,15,547.06,518.1428851347696,0.05675044940942261,529.1758644744172,0.5483859174496399,4904.988483895734,121.59360947610867,513.1523602804606,0,39916.0
yi,256,15,336.89,309.5399377526325,0.06675296525177708,322.42393216528757,0.8904983822612723,7964.982635281546,197.4502062987919,306.6446584383829,0,39920.0
yi,512,15,246.63,217.42361443871863,0.09470624540044094,233.01182364429232,1.216397031991242,10879.953776912784,269.71171390341806,215.12291495686688,0,39996.0
yi,1024,15,245.97,211.61300948398477,0.18460254558572445,233.22508348912467,1.2196609342602756,10909.147457006951,270.4354189535309,209.0068078272388,0,39894.0
yi,2048,15,234.22,192.48798758934547,0.3398107193099544,223.30268039806862,1.280847066860217,11456.421313295192,284.0022201349159,190.03296570861423,0,39934.0
yi,3072,15,224.84,181.2763432679762,0.39478543445989533,213.9186959521234,1.3342821561999645,11934.366660736523,295.8503824942181,179.2319014956441,0,39924.0
yi,4096,15,253.46,212.0503076166788,0.5376925587442668,244.11188436180583,1.1836187169573107,10586.77108814014,262.4437781109445,209.59392048270328,0,39908.0
yi,128,20,539.06,514.5147789056448,0.05529183934118063,525.231717562122,0.556524320112789,4977.7816940600305,123.3981374986087,509.905423666205,0,39916.0
