model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
yi,2048,1,312.42,1.730369064693221,0.08312316037901689,68.47278760422225,0.9602458229306702,2539.8373983739834,422.9818833621407,1.5095518938792511,0,39477.0
yi,3072,1,314.06,1.6653144630682057,0.08587928329921395,70.54184644262538,0.9552314844297268,2526.574539896835,420.77310068139843,1.3062048904930974,0,39439.0
yi,4096,1,313.15,1.707677957219128,0.0845363002177693,69.60847440059646,0.9580073447229763,2533.916653361009,421.99584863483955,1.3119553756952496,0,39505.0
yi,128,5,390.57,305.01698287502063,0.06772586194670263,337.29137543791654,0.7681081496274675,2031.6358143226566,338.3465191899019,304.5732343147532,0,39583.0
yi,256,5,234.07,140.13975924967903,0.07340920896376864,180.1787360173676,1.2816678771307728,3389.994446105866,564.5661554235912,140.04248604009206,0,39563.0
yi,512,5,180.20,75.56680424476436,0.10625195039356744,127.8329411151644,1.6648168701442843,4403.418423973363,733.3407325194229,75.33575140190267,0,39657.0
yi,1024,5,169.21,48.82742789112788,0.1740928365211201,130.6803611872722,1.77294486141481,4689.415519177353,780.9703918208144,48.489762470697904,0,39739.0
yi,2048,5,155.51,22.24990917908814,0.2627440151278221,134.29824758269126,1.9291363899427691,5102.540029580092,849.7717188605235,21.837612014978074,0,40699.0
yi,3072,5,153.60,14.577020317998976,0.3591598221492521,137.2921858368616,1.953125,5165.989583333334,860.3385416666667,14.080515898731102,0,40189.0
yi,4096,5,147.85,13.041651948526267,0.4405529464014648,135.4229842457619,2.029083530605343,5366.898884004058,893.7977680081163,12.901024505489913,0,40055.0
yi,128,10,399.27,342.34157927051183,0.06843988712483386,374.11982521222745,0.751371252535878,1987.3669446740303,330.9740276003707,342.20474216496046,0,39583.0
yi,256,10,238.01,170.9502834680541,0.07428459485221693,209.08386509447345,1.260451241544473,3333.8767278685773,555.2203688920633,170.71381771476896,0,39563.0
yi,512,10,182.73,107.19809041262474,0.1115118773131913,155.0700518547537,1.6417665407978985,4342.450610189898,723.1872161112024,106.90629113016824,0,39657.0
yi,1024,10,161.61,71.57975397502756,0.16498540060650368,135.2598113196848,1.856320772229441,4909.943691603242,817.696924695254,71.40781125570749,0,39739.0
yi,2048,10,147.68,46.445693377801504,0.25115779469927807,131.82057741720186,2.031419284940412,5373.076923076923,894.8266522210183,46.14653733303799,0,40699.0
yi,3072,10,154.14,42.41361902003598,0.35958422890782304,142.8962532271909,1.946282600233554,5147.891527183081,857.3245101855457,42.2779796749838,0,40189.0
yi,4096,10,149.46,41.50063549299171,0.4395266392499356,140.01810420494044,2.0072260136491367,5309.086043088451,884.1696775056871,41.36348130544866,0,40055.0
yi,128,15,401.77,353.1436612917738,0.06800736363108714,385.4681364261068,0.7466958707718346,1975.000622246559,328.9145531025214,353.0067588455477,0,39583.0
yi,256,15,235.76,178.51425258445903,0.073132597647421,214.89056664304803,1.2724804886325076,3365.6939260264676,560.519172039362,178.38056876931049,0,39563.0
yi,512,15,186.10,118.25747476191287,0.11209039234182663,166.91146676554285,1.6120365394948952,4263.815153143471,710.091348737238,118.09533733324236,0,39657.0
yi,1024,15,166.88,85.53719189003256,0.17162664903022778,148.40542376828552,1.7976989453499521,4754.889741131352,791.8744007670182,85.2434979618783,0,39739.0
yi,2048,15,155.29,59.78403167642885,0.26186116137647514,142.2715093721458,1.9318694056281795,5109.768819627793,850.9755940498422,59.46380678870832,0,40699.0
yi,3072,15,148.03,50.97119525190821,0.3524544144601006,138.50709416941186,2.0266162264405865,5360.372897385665,892.7109369722353,50.836291026795216,0,40189.0
yi,4096,15,150.76,51.07418285236694,0.44171602901829354,143.23881111500376,1.9899177500663308,5263.305916688777,876.5455027858849,50.9396626233196,0,40055.0
yi,128,20,405.82,361.45555280349856,0.06781372441101516,394.2107890272298,0.7392439998028683,1955.2905228919226,325.6320536198315,361.3175431266849,0,39583.0
yi,256,20,230.34,180.02988566430983,0.07265928979827245,213.61629757589662,1.3024225058609014,3444.8901623686725,573.7084310150212,179.89407186078927,0,39563.0
yi,512,20,186.55,122.8768584427578,0.11335879010393475,171.4679959406337,1.6081479496113642,4253.529884749397,708.3784508174751,122.75108021977736,0,39657.0
yi,1024,20,167.20,89.23718616053782,0.1700102878775554,152.8132387098044,1.7942583732057418,4745.789473684211,790.3588516746412,88.9940149159357,0,39739.0
