Dataset,Model,Sarathi-Serve,Chunk Size,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot (p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption,,vLLM with Preemption,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot(p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption
,,,128,3670.63 s,1000,,0.27,2453.78,59.76,3577.33,0.056,3589.48,,,,,,,1333.64 s,1000,,0.74,6753.64,164.49,1257.31,0.42,1288.58,,,,
,,,256,1892.87 s,1000,,0.52,4758.34,115.89,1822.28,0.058,1833.6,,,,,,,,,,,,,,,,,,,
,,,512,1379.78 s,1000,,0.72,6527.79,158.99,1305.74,0.084,1322.5,,,,,,,,,,,,,,,,,,,
,,,1024,1256.29 s,1000,,0.79,7169.46,174.62,1183.51,0.15,1207.02,,,,,,,,,,,,,,,,,,,
,,,2048,1184.05 s,1000,,0.84,7606.87,185.27,1102.34,0.26,1134.33,,,,,,,,,,,,,,,,,,,
,,,3072,1203.17 s,1000,,0.83,7485.99,182.33,1125.72,0.34,1158.83,,,,,,,,,,,,,,,,,,,
,,,4096,1185.28 s,1000,,0.84,7598.98,185.08,1105.05,0.35,1137.15,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 20 requests per second,,,,,,,,,,
,,,128,3520.19 s,1000,,0.28,2558.64,62.31,3446.54,0.057,3458.77,,,,,,,1330.95 s,1000,,0.75,6767.29,164.82,1270.59,0.42,1301.86,,,,
,,,256,1954.30 s,1000,,0.51,4608.77,112.25,1899.73,0.059,1911.69,,,,,,,,,,,,,,,,,,,
,,,512,1401.87 s,1000,,0.71,6424.93,156.48,1347.86,0.085,1364.59,,,,,,,,,,,,,,,,,,,
,,,1024,1267.08 s,1000,,0.78,7108.41,173.13,1212.09,0.15,1235.18,,,,,,,,,,,,,,,,,,,
,,,2048,1180.66 s,1000,,0.84,7628.72,185.8,1115.89,0.26,1147.7,,,,,,,,,,,,,,,,,,,
,,,3072,1190.21 s,1000,,0.84,7567.5,184.31,1127.88,0.34,1159.23,,,,,,,,,,,,,,,,,,,
,,,4096,1190.77 s,1000,,0.83,7563.95,184.23,1133.02,0.35,1163.02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,chunk_size: 1024,Sarathi Serve : 200 Requests,1253.83 s,gpu = .85,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1263.88 s,gpu = .65,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1318.82 s,gpu = .45,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2104.51 s,gpu = .25,1 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,vLLM 200 Requests,1323.39 s,gpu = .85,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1392.50 s,gpu = .65,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1554.11 s,gpu = .45,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3039.15 s,gpu = .25,2 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arxiv,yi_6b,,,,,Poisson Distribution of requests arrival 1 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 1 requests per second,,,,,,,,,,
,,,128,3804.03 s,1000,,0.26,2367.73,57.66,2803.85,0.056,2816.37,,,,,,,1084.29 s,1000,,0.92,8306.75,202.32,101.08,0.78,310.18,,,,
,,,256,1873.85 s,1000,,0.53,4806.64,117.07,893.03,0.055,904.7,,,,,,,,,,,,,,,,,,,
,,,512,1252.16 s,1000,,0.79,7193.11,175.19,274.04,0.075,295.32,,,,,,,,,,,,,,,,,,,
,,,1024,1099.05 s,1000,,0.9,8195.19,199.6,125.96,0.12,167.5,,,,,,,,,,,,,,,,,,,
,,,2048,1024.77 s,1000,,0.97,8789.21,214.07,60.59,0.24,150.02,,,,,,,,,,,,,,,,,,,
,,,3072,991.28 s,1000,,1,9086.15,221.3,31.64,0.34,167.13,,,,,,,,,,,,,,,,,,,
,,,4096,985.66 s,1000,,1.01,9137.96,222.56,24.93,0.44,206.15,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,
,,,128,3847.64 s,1000,,0.25,2340.89,57.01,3628.06,0.057,3640.3,,,,,,,1070.53 s,1000,,0.93,8413.52,204.92,860.51,0.78,906.33,,,,
,,,256,1871.88 s,1000,,0.53,4811.7,117.19,1669.48,0.056,1681.29,,,,,,,,,,,,,,,,,,,
,,,512,1243.43 s,1000,,0.8,7243.61,176.42,1045.69,0.074,1061.54,,,,,,,,,,,,,,,,,,,
,,,1024,1093.78 s,1000,,0.91,8234.67,200.56,896.25,0.12,918.48,,,,,,,,,,,,,,,,,,,
,,,2048,1014.44 s,1000,,0.98,8878.71,216.25,811.85,0.23,842.22,,,,,,,,,,,,,,,,,,,
,,,3072,987.83 s,1000,,1.01,9117.89,222.07,779.87,0.34,817.58,,,,,,,,,,,,,,,,,,,
,,,4096,983.23 s,1000,,1.01,9160.54,223.11,772.6,0.44,817.67,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,
,,,128,3772.80 s,1000,,0.26,2387.33,58.14,3651.43,0.057,3663.13,,,,,,,1068.09 s,1000,,0.93,8432.74,205.39,954.16,0.79,993.3,,,,
,,,256,1845.17 s,1000,,0.54,4881.35,118.89,1740.65,0.055,1752.46,,,,,,,,,,,,,,,,,,,
,,,512,1239.39 s,1000,,0.8,7267.22,177,1133.7,0.074,1149.47,,,,,,,,,,,,,,,,,,,
,,,1024,1103.93 s,1000,,0.9,8158.96,198.72,1001.24,0.13,1023.41,,,,,,,,,,,,,,,,,,,
,,,2048,1026.64 s,1000,,0.97,8773.2,213.68,919.47,0.24,946.67,,,,,,,,,,,,,,,,,,,
,,,3072,993.89 s,1000,,1,9062.29,220.72,883.57,0.34,917.09,,,,,,,,,,,,,,,,,,,
,,,4096,981.86 s,1000,,1.01,9173.33,223.43,867.24,0.44,905.89,,,,,,,,,,,,,,,,,,,
